iter	Passed	Remaining
0	1	1362
1	2	1201
2	3	1194
3	4	1124
4	5	1090
5	6	1069
6	7	1059
7	8	1055
8	9	1048
9	11	1125
10	12	1137
11	13	1123
12	14	1118
13	17	1200
14	18	1192
15	19	1177
16	20	1166
17	21	1152
18	22	1143
19	23	1133
20	24	1123
21	25	1115
22	26	1108
23	27	1129
24	29	1162
25	31	1169
26	32	1184
27	34	1185
28	35	1180
29	36	1172
30	37	1164
31	63	1930
32	68	1995
33	69	1973
34	71	1970
35	72	1947
36	73	1924
37	75	1914
38	77	1903
39	78	1881
40	79	1861
41	80	1841
42	82	1836
43	84	1825
44	86	1841
45	88	1844
46	90	1825
47	91	1805
48	92	1785
49	92	1765
50	93	1746
51	94	1728
52	95	1709
53	96	1691
54	97	1675
55	98	1659
56	100	1656
57	102	1658
58	103	1644
59	104	1631
60	105	1630
61	106	1617
62	107	1604
63	108	1591
64	109	1577
65	110	1565
66	111	1554
67	112	1542
68	113	1530
69	114	1518
70	115	1508
71	116	1497
72	118	1507
73	120	1503
74	121	1495
75	122	1494
76	124	1489
77	125	1480
78	126	1471
79	127	1462
80	128	1453
81	129	1444
82	129	1430
83	130	1422
84	131	1414
85	132	1405
86	133	1397
87	135	1406
88	137	1402
89	138	1401
90	139	1397
91	141	1400
92	143	1396
93	144	1391
94	145	1385
95	146	1377
96	147	1369
97	147	1362
98	148	1354
99	149	1349
100	151	1350
101	153	1352
102	154	1349
103	156	1350
104	158	1347
105	159	1341
106	160	1336
107	161	1332
108	162	1327
109	163	1322
110	164	1318
111	165	1313
112	166	1307
113	167	1302
114	170	1309
115	171	1305
116	172	1299
117	173	1300
118	175	1297
119	176	1293
120	177	1290
121	178	1284
122	179	1281
123	180	1277
124	181	1272
125	183	1270
126	183	1264
127	186	1269
128	187	1266
129	188	1263
130	189	1259
131	191	1261
132	193	1258
133	193	1253
134	194	1248
135	196	1245
136	197	1241
137	198	1238
138	199	1233
139	200	1229
140	201	1225
141	201	1218
142	203	1221
143	205	1220
144	206	1218
145	208	1217
146	209	1213
147	210	1210
148	211	1206
149	212	1201
150	212	1197
151	213	1193
152	214	1190
153	215	1186
154	217	1184
155	219	1185
156	221	1186
157	222	1184
158	224	1185
159	225	1182
160	225	1177
161	227	1174
162	228	1172
163	229	1169
164	230	1166
165	231	1163
166	232	1159
167	233	1156
168	234	1152
169	235	1149
170	236	1148
171	239	1152
172	241	1152
173	242	1149
174	243	1147
175	244	1145
176	245	1142
177	246	1139
178	247	1136
179	248	1133
180	249	1130
181	250	1128
182	251	1124
183	252	1121
184	256	1130
185	258	1130
186	260	1130
187	261	1128
188	262	1125
189	263	1122
190	264	1120
191	265	1117
192	266	1115
193	267	1112
194	268	1109
195	270	1108
196	273	1113
197	274	1112
198	275	1110
199	277	1111
200	279	1109
201	280	1107
202	281	1105
203	283	1105
204	284	1105
205	286	1103
206	287	1100
207	288	1100
208	290	1100
209	292	1101
210	293	1098
211	294	1096
212	295	1093
213	297	1092
214	298	1090
215	299	1087
216	300	1085
217	301	1082
218	302	1080
219	303	1077
220	304	1074
221	307	1076
222	308	1075
223	310	1075
224	311	1072
225	312	1070
226	313	1067
227	314	1064
228	315	1061
229	316	1059
230	317	1056
231	318	1053
232	319	1051
233	320	1048
234	321	1046
235	324	1049
236	325	1047
237	326	1046
238	327	1043
239	329	1042
240	330	1040
241	331	1037
242	332	1034
243	333	1032
244	334	1030
245	335	1027
246	336	1025
247	337	1023
248	338	1021
249	340	1022
250	341	1020
251	343	1020
252	345	1020
253	347	1019
254	348	1018
255	349	1016
256	350	1014
257	352	1012
258	353	1011
259	354	1009
260	355	1007
261	358	1009
262	359	1008
263	361	1006
264	362	1004
265	363	1002
266	364	1000
267	365	998
268	366	996
269	368	996
270	370	995
271	371	994
272	372	993
